CountryID,Q14_PD1,Q14_PD2,Q14_PD3,Q14_PD4,Q14_PD5,Q14_PD6,Q14_PD7,Q14_PD8,Q14_PD9,Q14_PD10,Q14_PD11,Q14_PD12,Q14_PD13,Q14_PD14,Q14_PD15,Q14_PD16,Q14_PD17,Q14_PD18,Q14_PD19,Q14_PD20,Q14_PD21,Q14_PD22,Q14_PD23,Q14_PD24,Q21_PD1,Q21_PD2,Q21_PD3,Q21_PD4,Q21_PD5,Q21_PD6,Q21_PD7,Q21_PD8,Q21_PD9,Q21_PD10,Q21_PD11,Q21_PD12,Q21_PD13,Q21_PD14,Q21_PD15,Q21_PD16,Q21_PD17,Q21_PD18,Q21_PD19,Q21_PD20,Q21_PD21,Q21_PD22,Q21_PD23,Q21_PD24,Q25_PD1,Q25_PD2,Q25_PD3,Q25_PD4,Q25_PD5,Q25_PD6,Q25_PD7,Q25_PD8,Q25_PD9,Q25_PD10,Q25_PD11,Q25_PD12,Q25_PD13,Q25_PD14,Q25_PD15,Q25_PD16,Q25_PD17,Q25_PD18,Q25_PD19,Q25_PD20,Q25_PD21,Q25_PD22,Q25_PD23,Q25_PD24,Q21_PT1,Q21_PT2,Q21_PT3,Q21_PT4,Q21_PT5,Q21_PT6,Q21_PT7,Q21_PT8,Q21_PT9,Q21_PT10,Q21_PT11,Q21_PT12,Q21_PT13,Q21_PT14,Q21_PT15,Q21_PT16,AidDataID,orgname
31,3.45,4.142857,4.833333,4.285714,,,,,,,,,,2.571429,,,,,,,,,4,2,2.809615,3.571429,3,1.7,,,1.142857,,,,,,,1.571429,,,,,,,,,2.5,,3.714286,3.6,4,4,,,,,,,,,,,,,,,,,,,2.5,,1.852679,3,,2.85,2.0625,,3.571429,1.142857,1.142857,1.571429,2.85,2.769231,,,,,110593700,Republic of Djibouti
32,2.895833,3.252874,2.159844,2.75,,2.5,2.428571,3.2,4.083333,,2.73913,,,2.333333,,3.805556,2.333333,3,2.666667,,,,4.0625,,3.6875,3.955556,1.094444,2.824405,,2.375,3.261905,2.6,3.694444,,3.304348,2.625,,2.333333,,2.833333,4,0,2.833333,2.142857,,,2.232143,,3.8125,4.619048,2.944444,5,,3.5,4,3.166667,3.833333,,3.6875,,,2.5,,3.283333,4,,2.666667,,,,2.716667,,3.236111,1.465368,2.777778,3.444444,2.499702,,2.308928,1.333333,2.909722,2,2.558424,3.383333,0.6818182,3.666667,,,110593725,Dominican Republic
33,4.166667,1,3.222222,,1.5,2.857143,,,,,2,,1.090909,,2.833333,,2.5,,2.369231,2,1,,,2,1.619048,1.202381,1.333333,,0.5833333,2.18254,2.666667,,,,1.5,,,,1.1,,0.5,,1.446154,,1.5,,,1.923077,3.666667,,1.5,,2.333333,4.5,,,,,2.25,,,,3.666667,,2,,2.666667,,2.333333,,,,1.474359,,3.5,3.5,,,1.363248,,,,1.692308,2.183333,2.666667,,,,110593717,Republic of Ecuador
34,2.466667,1.4375,2,2.5,,1.2,2.673341,,,,3.233333,3,,,2.5,,5,3,2.811275,,,,,1.857143,2.486111,1.959821,,4,3.411765,2.75,2.069603,,,,3.194444,,,,2.5,,4,2.8,1.644608,,,,,1.428571,2.541667,3,,2.666667,,,2.91875,,,,3.101191,,,,4,,4,,3.25,,,,,1.4,2.666667,3.5,0.7058824,,3.428571,3.5,2.26087,0.9823271,,3.705882,3.222222,2.5,,2.444444,,3.5,67524742,Arab Republic of Egypt
35,4.75,,1.909091,4.125,3.020202,,2.2,,3.327731,5,4.5,3.511905,,,,,,2,2.333333,2.677885,,,4.333333,2.539474,,,4.727273,1.9125,2.447811,2.505037,3.1,,3.044907,4.666667,3.3,3.669643,,,,3.142857,,3.030702,3.666667,2.138278,,,3.333333,2.584795,,,,4.25,3.083333,,2.833333,,3.656818,5,4.5,5,,,,,,5,3,3.611111,,,4,4.428571,2.156014,1.857143,,3.714286,1.427273,,2.61039,4.666667,3.625,2.066628,,3.1,2.671053,,2.739938,,110593726,Republic of El Salvador
36,,,,,,,,,,,2.2,,,,,,,,,,,,,,,,,,,,,,,,2.8,,,,,,,,,,,,,,,,,,,,,,,,3.333333,,,,,,,,,,,,,,2,,,,,,2,,,,,,,,,,110593491,Republic of Equatorial Guinea
37,,,,3,,5,,,,,,,,,,,,,,,,,,,,,,1.8,,3.038462,,,,,4,0.4,,,,,,,,,,,,,,,,2.2,,4,,,,,,,,,,,,,,,,,,,2.501961,,,3.428571,,,2.252747,1.076923,,,,,,,,,110593714,State of Eritrea
38,3.031746,,3.75,,,1.958333,,,4,2.333333,,3.294118,,,,,4.111111,,5,3.071429,,,3.090909,3.769231,1.619048,,1.2,2.855556,,2.547381,,,2.825397,1.333333,,1.666667,,,,2.958333,2.7,2.660256,4.041667,2.076923,,,2.375,2.407407,2.761905,,,,,3.542857,,,3.75,2,,,,,,,2.285714,,3.5,2.285714,,,4.714286,3.375,2.993759,1.892857,2.204762,2.5,2.933333,,2.806746,2.831878,2.5,2.266667,1.2,2.635958,2.153846,,2.183303,,110593677,Federal Democratic Republic of Ethiopia
39,,,,,,3.904762,2,,,,3.4,,4.857143,,,,,,,,,,,,,,0,,1.545455,1.5,2.714286,,,,3.6,,3,,,,1,1.5625,,,,,1,,,,,,,3.558333,5,,,,3.125,,3.333333,,,,,,,,,,,,2.714286,3.1,,4,1,,,1.3,2.65,,,1.731818,1.3,,3.285714,,110593624,Republic of Fiji
40,2.5,,2.125,,,3.804762,3.375,3.375,,,4.75,5,,,,,,,3.425,,,,3.666667,3.8125,4,,2.375,,,3.892857,1.864197,3.625,,,2.875,3.625,,,,,,,3.25,,,,3.703704,1.624868,,,3.571429,,,4.5,4.3,3.5,,,3.5,3.2,,,,,,,4.5,,,,4.333333,,2.888889,2.644676,3.625,3.181878,1.7,0.7037037,3.222222,3.396825,3.25,,,2.8125,,3.0625,,0.7037037,110593678,Republic of Gambia
