DID,Name of Donor,Multilateral,DAC Bilateral,Non-DAC Bilateral,Q14_All,Q14_Rank,Q14_Percent,Q21_All,Q21_Rank,Q21_Percent,Q25_All,Q25_Rank,Q25_Percent,Q14_C1,Q14_C2,Q14_C3,Q14_C4,Q14_C5,Q14_C6,Q14_C7,Q14_C8,Q14_C9,Q14_C10,Q14_C11,Q14_C12,Q14_C13,Q14_C14,Q14_C15,Q14_C16,Q14_C17,Q14_C18,Q14_C19,Q14_C20,Q14_C21,Q14_C22,Q14_C23,Q14_C24,Q14_C25,Q14_C26,Q14_C27,Q14_C28,Q14_C29,Q14_C30,Q14_C31,Q14_C32,Q14_C33,Q14_C34,Q14_C35,Q14_C36,Q14_C37,Q14_C38,Q14_C39,Q14_C40,Q14_C41,Q14_C42,Q14_C43,Q14_C44,Q14_C45,Q14_C46,Q14_C47,Q14_C48,Q14_C49,Q14_C50,Q14_C51,Q14_C52,Q14_C53,Q14_C54,Q14_C55,Q14_C56,Q14_C57,Q14_C58,Q14_C59,Q14_C60,Q14_C61,Q14_C62,Q14_C63,Q14_C64,Q14_C65,Q14_C66,Q14_C67,Q14_C68,Q14_C69,Q14_C70,Q14_C71,Q14_C72,Q14_C73,Q14_C74,Q14_C75,Q14_C76,Q14_C77,Q14_C78,Q14_C79,Q14_C80,Q14_C81,Q14_C82,Q14_C83,Q14_C84,Q14_C85,Q14_C86,Q14_C87,Q14_C88,Q14_C89,Q14_C90,Q14_C91,Q14_C92,Q14_C93,Q14_C94,Q14_C95,Q14_C96,Q14_C97,Q14_C98,Q14_C99,Q14_C100,Q14_C101,Q14_C102,Q14_C103,Q14_C104,Q14_C105,Q14_C106,Q14_C107,Q14_C108,Q14_C109,Q14_C110,Q14_C111,Q14_C112,Q14_C113,Q14_C114,Q14_C115,Q14_C116,Q14_C117,Q14_C118,Q14_C119,Q14_C120,Q14_C121,Q14_C122,Q14_C123,Q14_C124,Q14_C125,Q14_C126,Q21_C1,Q21_C2,Q21_C3,Q21_C4,Q21_C5,Q21_C6,Q21_C7,Q21_C8,Q21_C9,Q21_C10,Q21_C11,Q21_C12,Q21_C13,Q21_C14,Q21_C15,Q21_C16,Q21_C17,Q21_C18,Q21_C19,Q21_C20,Q21_C21,Q21_C22,Q21_C23,Q21_C24,Q21_C25,Q21_C26,Q21_C27,Q21_C28,Q21_C29,Q21_C30,Q21_C31,Q21_C32,Q21_C33,Q21_C34,Q21_C35,Q21_C36,Q21_C37,Q21_C38,Q21_C39,Q21_C40,Q21_C41,Q21_C42,Q21_C43,Q21_C44,Q21_C45,Q21_C46,Q21_C47,Q21_C48,Q21_C49,Q21_C50,Q21_C51,Q21_C52,Q21_C53,Q21_C54,Q21_C55,Q21_C56,Q21_C57,Q21_C58,Q21_C59,Q21_C60,Q21_C61,Q21_C62,Q21_C63,Q21_C64,Q21_C65,Q21_C66,Q21_C67,Q21_C68,Q21_C69,Q21_C70,Q21_C71,Q21_C72,Q21_C73,Q21_C74,Q21_C75,Q21_C76,Q21_C77,Q21_C78,Q21_C79,Q21_C80,Q21_C81,Q21_C82,Q21_C83,Q21_C84,Q21_C85,Q21_C86,Q21_C87,Q21_C88,Q21_C89,Q21_C90,Q21_C91,Q21_C92,Q21_C93,Q21_C94,Q21_C95,Q21_C96,Q21_C97,Q21_C98,Q21_C99,Q21_C100,Q21_C101,Q21_C102,Q21_C103,Q21_C104,Q21_C105,Q21_C106,Q21_C107,Q21_C108,Q21_C109,Q21_C110,Q21_C111,Q21_C112,Q21_C113,Q21_C114,Q21_C115,Q21_C116,Q21_C117,Q21_C118,Q21_C119,Q21_C120,Q21_C121,Q21_C122,Q21_C123,Q21_C124,Q21_C125,Q21_C126,Q25_C1,Q25_C2,Q25_C3,Q25_C4,Q25_C5,Q25_C6,Q25_C7,Q25_C8,Q25_C9,Q25_C10,Q25_C11,Q25_C12,Q25_C13,Q25_C14,Q25_C15,Q25_C16,Q25_C17,Q25_C18,Q25_C19,Q25_C20,Q25_C21,Q25_C22,Q25_C23,Q25_C24,Q25_C25,Q25_C26,Q25_C27,Q25_C28,Q25_C29,Q25_C30,Q25_C31,Q25_C32,Q25_C33,Q25_C34,Q25_C35,Q25_C36,Q25_C37,Q25_C38,Q25_C39,Q25_C40,Q25_C41,Q25_C42,Q25_C43,Q25_C44,Q25_C45,Q25_C46,Q25_C47,Q25_C48,Q25_C49,Q25_C50,Q25_C51,Q25_C52,Q25_C53,Q25_C54,Q25_C55,Q25_C56,Q25_C57,Q25_C58,Q25_C59,Q25_C60,Q25_C61,Q25_C62,Q25_C63,Q25_C64,Q25_C65,Q25_C66,Q25_C67,Q25_C68,Q25_C69,Q25_C70,Q25_C71,Q25_C72,Q25_C73,Q25_C74,Q25_C75,Q25_C76,Q25_C77,Q25_C78,Q25_C79,Q25_C80,Q25_C81,Q25_C82,Q25_C83,Q25_C84,Q25_C85,Q25_C86,Q25_C87,Q25_C88,Q25_C89,Q25_C90,Q25_C91,Q25_C92,Q25_C93,Q25_C94,Q25_C95,Q25_C96,Q25_C97,Q25_C98,Q25_C99,Q25_C100,Q25_C101,Q25_C102,Q25_C103,Q25_C104,Q25_C105,Q25_C106,Q25_C107,Q25_C108,Q25_C109,Q25_C110,Q25_C111,Q25_C112,Q25_C113,Q25_C114,Q25_C115,Q25_C116,Q25_C117,Q25_C118,Q25_C119,Q25_C120,Q25_C121,Q25_C122,Q25_C123,Q25_C124,Q25_C125,Q25_C126,Q14_PD1,Q14_PD2,Q14_PD3,Q14_PD4,Q14_PD5,Q14_PD6,Q14_PD7,Q14_PD8,Q14_PD9,Q14_PD10,Q14_PD11,Q14_PD12,Q14_PD13,Q14_PD14,Q14_PD15,Q14_PD16,Q14_PD17,Q14_PD18,Q14_PD19,Q14_PD20,Q14_PD21,Q14_PD22,Q14_PD23,Q14_PGC1,Q14_PGC2,Q14_PGC3,Q21_PGC1,Q21_PGC2,Q21_PGC3,Q22_PT1,Q22_PT2,Q22_PT3,Q22_PT4,Q22_PT5,Q22_PT6,Q22_PT7,Q22_PT8,Q22_PT9,Q22_PT10,Q22_PT11,Q22_PT12,Q22_PT13,Q22_PT14,Q22_PT15,Q22_PT16
69,Kuwait,,,1,2.3134579,51,89.29%,1.0383065,53,92.86%,2.3875,51,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.75,,,,,,,,,,,,,,,,,,,,3,,1.6666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2222222,,,,,,,,2.375,,,,,,,,,,,2.75,,,,1.4166667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,,,,,,,,,,0.16666667,,,,,,,,,,2.5833334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8333333,,,,,,,,1.25,,,,,,,,,,,1.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1153846,2.1428571,,,2.8333333,2.5833333,,,,,2,1.9861111,,,3.1363636,,,,,,,,2,2.4594595,2.1818182,2.1568627,1.1095238,0.65384615,1.2892157,0.8858024,0.75,1.5,,0.4090909,,1.426471,1.444444,1.0625,,1.166667,0.75,0.3333333,,,
72,Libya,,,1,1.942029,56,98.21%,0.55246914,57,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.625,,,,,,,,,,,,1.9,,2.5,0.58333333,,0.6875,0.5714286,,,,,,,,,,,,,,,
75,Luxembourg,,1,,3.6825397,6,8.93%,2.5511905,11,17.86%,3.15,25,48.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6785714,,,,,,,,,,,,,,,,,,,,,,,,2,,,2.1666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6666667,,3.4444444,1.5,,2.3888889,2.5,,,,2.2,,,,,,,,,,,
78,Netherlands,,1,,3.4209459,16,26.79%,2.2837963,20,33.93%,3.2823701,21,40.00%,,,,,,,2.7083333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4,,,,,,,,,,1.9904762,,,3.3333333,,2.0833333,2.9,,,2.8333333,3.75,,,,,,,,,,,,,,,,,,,,,,,,1.375,,,,,,,,,,,,,,,,,,,,,,,,2.1443453,,,,3.3888889,,,,2.4666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.125,2.75,,,,,,,,,,,,,,2.625,,,,2.5957341,1.8333333,,,,,,,,,3,,,,,,,,,,,3.8888889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.28125,,,,,,,,2.6,3.8333333,3.6666667,,3.8666667,,4.0625,3.5,,,,,2.375,,,3.4444444,,,,2.8333333,3.2444444,3.81,1.8076923,2.2588235,2.8362573,2.498077,2.181818,2.75641,2.142857,2.410919,,2.115385,2.12963,2.571429,1.166667,1.833333,2.161765,1.9,,2.5,2
80,New_Zealand,,1,,3.3198593,21,35.71%,2.3165584,18,30.36%,3.4772569,10,18.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8732143,,,,,3.5674603,,,,,,,,,,,,,,,3.675,,,,3.7777778,,,,3.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2988095,,,,,3.6666667,,,,,,,,,,,,,,,3.2333334,,,,3.3666667,,,,3.5833333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6791667,,,,,3.7222222,,,,,,,,,,,,,,,4.8333333,,,,2.5,,,,4.0833333,,,,,,4.3958333,,,,,,,,,,3.7222222,,,,3.6666667,,,,,,,,3.75,3.7519841,3.5,3.7074074,3.0555556,3.425,3.0625,2.611111,2.416667,,,,,2.75,1.357143,,,,2.4375,,,,
83,Norway,,1,,3.1931141,25,42.86%,2.0714842,27,46.43%,3.0377425,30,58.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1666667,,,,,,3.8518519,,4.6,,,,,,,,,,,,,2.95,,,,,2.6904762,,,,,,,,,,,,,,,,,,,,,,,,,,2.8333333,,,,,,,,,,,,,,,,2,,,,1.1666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,,,,,,,,,,,,,,,,,,2.4666667,,,,,,1.6365079,,3.2333333,,,,,,,,2.7,,,,,1.9967949,,,,,2.9450758,,,,,,,,,,,2.3,,,,,,,,,,,,,2.1666667,,2.9791667,,,,,,,2.7,,,,,,3.3333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8761905,,2.9166667,,,,,,,,,,,,,2.1428571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,,,2.25,,3.25,3.09375,4.5,,,4,,,,,,3.5714286,,,3.8333333,,,3.25,2.6717687,3.5814815,3.747619,1.5589744,2.7296296,2.7857143,1.833333,1.910714,2.666667,2.75,2.081667,,1.909314,2.333333,1.8125,1.75,2,1.982143,1.125,,,
87,OPEC_Fund_for_International_Development,1,,,2.1892034,54,94.64%,1.3018362,50,87.50%,2.6764706,45,88.00%,,,,,,,,,3.3333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4444444,,,,,,,,,,,,1.777778,,,,,,,,,,,,0.777778,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,,,,,,,,,,,,,,,,,1.666667,,,0.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,0.777778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.960784,2.714286,,,2.833333,1.333333,,,,,,2.25,,,2.458333,,,,,,,,,2.3285714,2.5714286,1.8666667,1.3040541,0.9,1.4015152,0.875,0.7179487,0.8333333,,1.388889,,1.190476,1,1.625,,1.142857,0.9375,1,,,
88,Poland,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Portugal,,1,,2.8531746,34,58.93%,2.2654478,22,37.50%,2.837963,39,76.00%,,,,1.4444444,,,,,,,,,,,,,,,,,4.1666667,,,,,,,,,,,,,,,,,,,,,,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1111111,,,,,,,,,,,,,,,,,,,1.2777778,,,,,,,,,,,,,,,,,3.125,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5416667,,,,,,,,,,,,,,,,,2.9583333,,,,,,,,,,,,,,,,,2.9553571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2666667,2.8888889,3.7916667,2.4,2.4444444,3.0208333,2.930556,,,,2.5,,1.5625,2.1875,,,,1.25,,,,
92,Qatar,,,1,2.9416667,33,57.14%,1.6447368,39,67.86%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7142857,,,0.6875,2.2,,,,,,0.9047619,,,,,,,,,,,
94,Russia,,,1,2.6875,41,71.43%,1.0392157,52,91.07%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6,,,,,,,,,,1.3,,,,,,,,,,,
96,Saudi_Arabia,,,1,2.5684524,44,76.79%,1.0791377,51,89.29%,2.5208333,49,96.00%,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,2.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1388889,,,,,,,,,,,,,,,,,,,2.9444444,,,,0.8125,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.88888888,,,,,2.3333333,,,,,,,,,,,,,,,,,,,,0.875,,,,,,,,,,,,,,,,,1.6111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4444444,,,,,,,,,,,,,,,,,,,2.4166667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9583333,2.6428571,,,,2.8,2.6666667,,,,,1.8333333,,,2,,,,,,,,,2.4475309,2.75,2.5666667,0.92901235,1,1.6979167,0.8402778,0.6190476,1.5,1.166667,0.84375,,1.1,1.388889,0.9642857,,1.125,0.8125,,,,
99,South_Africa,,,1,2.966967,32,55.36%,1.6460543,38,66.07%,2.5,50,98.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8055556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9166667,,2.3888889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3333333,,,,,,,,,2.3125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1.4541667,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1.1666667,,,,,,2.2222222,,2.8541667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3333333,,,,2.7777778,3.1,,,,,,,,,,,,,3.3571429,,,,,2.7460317,3.2954545,2.6282051,1.55,2.2083333,1.2777778,1.0625,1,1.166667,,1.282051,,0.8333333,1.727273,,,,1.21875,1.583333,,1.916667,
101,South_Korea,,1,,3.2509446,23,39.29%,2.17542,24,41.07%,2.6638095,46,90.00%,,,,,,,3,,,,,,,,,,,,2.3888889,,,,,,2.25,,,,,,,,,2.6388889,,,,,,,,,2.6428572,,,,,,,2.7380952,,,,,,,,,,,,2.8,,,,,,,,,,,,3.9404762,,,,,,,,,4.6666667,,,,2.3625,2.5,3.031746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,,,,,,,,,,,,2.3035714,,,,,,,,,,,,,,,1.8333333,,,,1.6666667,,,,,1.7928571,,,,,,,1.61875,,1.25,,,1.875,,,,,3.3333333,,2.4,,,,,,,,,,,,2.8650794,,,,,,,,,1.7777778,0.24999999,,,2.5791667,2.15,1.4547619,,,,,,0.77777777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2222222,,,,,,,,,,,,2.6666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9,,,,,,,,,,,,,3.1111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.46875,2.5,3.8571429,3.2,,3.4444444,3.2307692,,,,3,2.2142857,3.25,,3.9166667,,,3.25,2.7923077,2.1,,4.5,3,3.4587912,3.0724206,3.2984524,2.0128788,1.9683333,2.1264286,1.619048,1.458333,1.541667,2.351852,1.666667,,1.557692,1.509804,2.583333,0.875,1.85,1.856061,2.0625,,1.092593,
104,Spain,,1,,2.8169009,35,60.71%,2.005513,31,53.57%,2.8868295,36,70.00%,,,,,,,,,,,,,,,2.6666667,,,,,,3.6,,,,2.8333333,,,,,,,2.85,2.8571429,2.6666667,3.2708333,,,,,,,,2.9280303,,,,4.0785714,3.6666667,,,,,,2.4,,,,,,,,,,,,,,,,,4.1875,,,,,2.65625,2.7916667,,,,2.3333333,2.75,,,2.1,,3.1291667,2.7916666,3.3333334,,,,,,2.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2083333,,,,,,,,1.7708333,,,1.95,,,,,,2.9722222,,,,2,,,,,,,1.9464286,1.6964286,1.5,2.7048611,,,1.4444444,,,,,2.5,,,,2.6090686,2.2083334,,,,,,1.5,,,,,,,,,,,,,,,1.7083333,,2.3625,,,,,1.9732143,2.7666667,,3,,1.9791667,3,,,2.125,,2.7738095,2.1321429,1.7723214,,,,,,1.625,,,,,,,,,,,,,,,,,,,1.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6111111,,,4.4166667,,,,,,,,3.5277778,,,,3.3125,,,,,,,,,,,,,,,,,,,,,,,,3.6666667,,,,,2.25,2.6666667,,,,,,,,,,4,3.9333333,3.9166667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.275,2.1428571,2.1666667,2.0666667,2.4,2.4555556,3.75,3.2,3.6904762,3.875,3.1875,2.8333333,2.25,,2.875,3.6666667,2.625,,3.3826531,3.1388889,,,3.1041667,2.3172024,3.0220058,3.100641,1.3901455,1.8155159,2.5675824,2.016639,1.603175,1.730769,2.738095,1.766389,,1.629293,2.35,2.5,1.614583,2.607143,1.981771,2.035714,,2.125,
107,Sweden,,1,,3.4846512,12,19.64%,2.3663939,17,28.57%,3.3906452,15,28.00%,,,,,,,,,,,,,3.875,,,,,,2.6740741,,,,,,,,,,,,,,,,,,,,,,3.547619,,,,,,,,,,,,,,,4.5555556,,,,,,,,2.7222222,4.1142857,,,,,,,,3.8819444,,,,,,,,,,,,1.6666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3333333,,,,,,,,,2.6666667,2.0833333,,,,,2.5961538,,,,,,2.9087302,,,,,,3.8888889,,,,,,,,,,1.375,,,,,,2.4878472,,,,,,,,,,,,,,,3.525,,,,,,3.8333333,,2.4732143,2.5026786,,,,,,,,2.7744318,,,,3.1111111,,,,,,,,2.75,,,,,,,2.5,,,,3.1666667,,,,,,,,,,,,,,,,,,,,,,,2.125,,,,,2.25,,,,,,,,,,,,,,,3.1041667,,,,,,3.2361111,,,,,,,,,,,,,,,,,,,,,,3.5119048,,,,,,,,,,,,,,,3.3333333,,,,,,,,2.4333333,4.5,,,,,,,,4.0952381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5714286,,,3,3.2666667,3.5151515,,3.8333333,3.3333333,,4.1428571,2.8,,4.5,3.75,4.5,3.8,,4.2142857,2.5,,,3.5333333,3.3222222,3.6664578,3.6757576,1.9803922,2.8011464,2.7841667,2.599333,1.495726,2.520833,3.190476,2.171402,,1.796875,2.570513,2.65,1.833333,1.635417,2.115741,1.730769,2.25,3.416667,2.166667
110,Switzerland,,1,,3.4659544,13,21.43%,2.1664816,25,42.86%,3.034058,31,60.00%,,,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,3.2083333,,,,,,,,,,,,,2.25,,,,,3.75,,4.1481481,,,,4,,,,,,,,3.4666667,,,,,,,,,,,,2.1666667,,,,,,,,,,,4.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,2.3,,,,,,,,,,,,,,,,,,,,,,,,,2.2833333,,,,,,,,,,,,,0.96428571,,,,,2.6222944,,3.01875,,,,1.9412879,,,,,,,,2.0833333,,,,,,,,,,,,2.375,,,,,,,,,,,1.7785714,,,,,,,,,,,,,,,,,,,,,,,,2.7083333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1666667,,,,,,4.5,,,,,,,,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0333333,,,,2.875,4.2,3.2857143,,3.875,,4.8,,,,,,,,,,,,2.9166667,3.3078704,2.3636364,4.0740741,2.3051948,1.4848485,2.6862745,2.330128,1.460317,2.046296,2.5,1.469907,,1.574074,2.151961,,1.466667,2.1,2.286325,1.64881,1.928571,,1.4
